,product_id,hs_product_code,hs_product_name_short_en,level,parent_id
326,862,2512,Siliceous fossil meals and earths,4digit,3.0
327,863,2513,Natural abrasives,4digit,3.0
328,864,2514,Slate,4digit,3.0
329,865,2515,Marble,4digit,3.0
330,866,2516,Granite,4digit,3.0
331,867,2517,Gravel,4digit,3.0
332,868,2518,Dolomite,4digit,3.0
333,869,2519,Natural magnesia,4digit,3.0
334,870,2520,Gypsum,4digit,3.0
335,871,2521,Limstone,4digit,3.0
336,872,2522,Quicklime,4digit,3.0
337,873,2523,Cements,4digit,3.0
338,874,2524,Asbestos,4digit,3.0
339,875,2525,Mica,4digit,3.0
340,876,2526,Natural steatite,4digit,3.0
341,877,2527,Natural cryolite,4digit,3.0
342,878,2528,Natural borates,4digit,3.0
343,879,2529,Feldspar,4digit,3.0
344,880,2530,Mineral substances n.e.c.,4digit,3.0
345,881,2601,Iron ores and concentrates,4digit,3.0
346,882,2602,Manganese > 47% by weight,4digit,3.0
347,883,2603,Copper ore,4digit,3.0
348,884,2604,Nickel ore,4digit,3.0
349,885,2605,Cobalt ore,4digit,3.0
350,886,2606,Aluminum ore,4digit,3.0
351,887,2607,Lead ore,4digit,3.0
352,888,2608,Zinc ore,4digit,3.0
353,889,2609,Tin ore,4digit,3.0
354,890,2610,Chromium ore,4digit,3.0
355,891,2611,Tungsten ore,4digit,3.0
356,892,2612,Uranium ore,4digit,3.0
357,893,2613,Molybdenum ore,4digit,3.0
358,894,2614,Titanium ore,4digit,3.0
359,895,2615,Zirconium ore,4digit,3.0
360,896,2616,Precious metal ores,4digit,3.0
361,897,2617,Other ores,4digit,3.0
362,898,2618,Granulated iron or steel slag,4digit,3.0
363,899,2619,Iron or steel slag,4digit,3.0
364,900,2620,"Slag, ash and residues containing metals",4digit,3.0
365,901,2621,Other slag and ash,4digit,3.0
366,902,2701,Coal,4digit,3.0
367,903,2702,Lignite,4digit,3.0
368,904,2703,Peat,4digit,3.0
369,905,2704,Coke,4digit,3.0
370,906,2705,Non-petroleum gases,4digit,3.0
371,907,2706,"Tar distilled from coal, lignite etc.",4digit,3.0
372,908,2707,Oils etc. from high temperature coal tar,4digit,3.0
373,909,2708,Pitch and pitch coke,4digit,3.0
374,910,2709,"Petroleum oils, crude",4digit,3.0
375,911,2710,"Petroleum oils, refined",4digit,3.0
376,912,2711,Petroleum gases,4digit,3.0
377,913,2712,Petroleum jelly,4digit,3.0
378,914,2713,Petroleum coke,4digit,3.0
379,915,2714,"Bitumen and asphalt, natural",4digit,3.0
380,916,2715,Bituminous mixtures,4digit,3.0
381,917,2716,Electrical energy,4digit,3.0
382,918,2801,Iodine,4digit,127.0
383,919,2802,"Sulfur, sublimed or precipitated",4digit,127.0
384,920,2803,Carbon,4digit,127.0
385,921,2804,Silicon & rare gases,4digit,127.0
386,922,2805,Rare-earth metals,4digit,127.0
387,923,2806,Hydrochloric acid,4digit,127.0
388,924,2807,"Sulfiric acid, oleum",4digit,127.0
389,925,2808,Sulfonitric acids,4digit,127.0
390,926,2809,Phosphoric acid etc.,4digit,127.0
391,927,2810,Oxides of boron; boric acids,4digit,127.0
392,928,2811,Other inorganic acids,4digit,127.0
393,929,2812,Halides of nonmetals,4digit,127.0
394,930,2813,Sulfides of nonmetals,4digit,127.0
395,931,2814,Ammonia,4digit,127.0
396,932,2815,Sodium hydroxide,4digit,127.0
397,933,2816,Hydroxides or peroxides of magnesium,4digit,127.0
398,934,2817,Zinc oxide or peroxide,4digit,127.0
399,935,2818,Aluminum oxide,4digit,127.0
400,936,2819,Chromium oxides and hydroxides,4digit,127.0
401,937,2820,Manganese oxides,4digit,127.0
402,938,2821,Iron oxides and hydroxides,4digit,127.0
403,939,2822,Cobalt oxides and hydroxides,4digit,127.0
404,940,2823,Titanium oxides,4digit,127.0
405,941,2824,Lead oxides,4digit,127.0
406,942,2825,"Metal base oxides, n.e.c.",4digit,127.0
407,943,2826,Flourides,4digit,127.0
408,944,2827,"Chlorides, bromides, iodides etc.",4digit,127.0
409,945,2828,Hyopchlorites,4digit,127.0
410,946,2829,Sodium chlorate,4digit,127.0
411,947,2830,Sulfides; polysulfides,4digit,127.0
412,948,2831,Dithionites and sulfoxylates,4digit,127.0
413,949,2832,Sulfites,4digit,127.0
414,950,2833,Sulfates,4digit,127.0
415,951,2834,"Nitrites, nitrates",4digit,127.0
416,952,2835,Phosphates,4digit,127.0
417,953,2836,Carbonates,4digit,127.0
418,954,2837,Cyanides,4digit,127.0
419,955,2838,"Fulminates, cyanates and thiocyanates",4digit,127.0
420,956,2839,Silicates,4digit,127.0
421,957,2840,Borates,4digit,127.0
422,958,2841,Salts of oxometallic acids,4digit,127.0
423,959,2842,Other salts of acids,4digit,127.0
424,960,2843,Compounds of precious metals,4digit,127.0
425,961,2844,Uranium,4digit,127.0
426,962,2845,Non-radioactive isotopes,4digit,127.0
427,963,2846,Compounds of rare-earth metals,4digit,127.0
428,964,2847,Hydrogen peroxide,4digit,127.0
429,965,2848,Phosphides,4digit,127.0
430,966,2849,Carbides,4digit,127.0
431,967,2850,"Hydrides, nitrides, azides, silicides and borides",4digit,127.0
432,968,2851,"Inorganic compounds, liquid or compressed air",4digit,127.0
433,969,2901,Acyclic hydrocarbons,4digit,128.0
434,970,2902,Cyclic hydrocarbons,4digit,128.0
435,971,2903,Halogenated derivatives of hydrocarbons,4digit,128.0
436,972,2904,"Sulfonated, nitrated derivatives of hydrocarbons",4digit,128.0
437,973,2905,Acyclic alcohols,4digit,128.0
438,974,2906,Cyclic alcohols,4digit,128.0
439,975,2907,"Phenols, phenol-alcohols",4digit,128.0
440,976,2908,Derivatives of phenols,4digit,128.0
441,977,2909,Ethers,4digit,128.0
442,978,2910,Epoxides,4digit,128.0
443,979,2911,Acetals and hemiacetals,4digit,128.0
444,980,2912,Aldehydes,4digit,128.0
445,981,2913,Derivatives of aldehydes,4digit,128.0
446,982,2914,Ketones and quinones,4digit,128.0
447,983,2915,Saturated acyclic monocarboxylic acids,4digit,128.0
448,984,2916,Unsaturated acyclic monocarboxylic acids,4digit,128.0
449,985,2917,Polycarboxylic acids,4digit,128.0
450,986,2918,Carboxylic acids with additional oxygen function,4digit,128.0
451,987,2919,Phosporic esters,4digit,128.0
452,988,2920,Esters of other inorganic acids of nonmetals,4digit,128.0
453,989,2921,Amine-function compounds,4digit,128.0
454,990,2922,Oxygen-function amino-compounds,4digit,128.0
455,991,2923,Quaternary ammonium salts and hydroxides,4digit,128.0
456,992,2924,Carboxyamide-function compounds,4digit,128.0
457,993,2925,Carboxyimide-function compounds,4digit,128.0
458,994,2926,Nitrile-function compounds,4digit,128.0
459,995,2927,"Diazo-, azo-, or azoxy-compounds",4digit,128.0
460,996,2928,Organix derivatives of hydrazine,4digit,128.0
461,997,2929,Isocyanates,4digit,128.0
462,998,2930,Organo-sulfur compounds,4digit,128.0
463,999,2931,Other organo-inorganic compounds,4digit,128.0
464,1000,2932,Heterocyclic compounds with oxygen hetero-atom(s) only,4digit,128.0
465,1001,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,4digit,128.0
466,1002,2934,Nucleic acids and their salts,4digit,128.0
467,1003,2935,Sulfonamides,4digit,128.0
468,1004,2936,Vitamins,4digit,128.0
469,1005,2937,Hormones,4digit,128.0
470,1006,2938,Glycosides,4digit,128.0
471,1007,2939,Vegetable alkaloids,4digit,128.0
472,1008,2940,"Other sugars, chemically pure",4digit,128.0
473,1009,2941,Antibiotics,4digit,128.0
474,1010,2942,Other organic compounds,4digit,128.0
475,1011,3001,Heparin for therapeutic use,4digit,129.0
476,1012,3002,Serums and vaccines,4digit,129.0
477,1013,3003,"Medicaments, not packaged",4digit,129.0
478,1014,3004,"Medicaments, packaged",4digit,129.0
479,1015,3005,"Wadding, gauze and bandages",4digit,129.0
480,1016,3006,Pharmaceutical goods,4digit,129.0
481,1017,3101,Animal or vegetable fertilizers,4digit,130.0
482,1018,3102,Nitrogenous fertilizers,4digit,130.0
483,1019,3103,Phosphatic fertilizers,4digit,130.0
484,1020,3104,Potassic fertilizers,4digit,130.0
485,1021,3105,Mixed fertilizers,4digit,130.0
486,1022,3201,Vegetable tanning extracts,4digit,131.0
487,1023,3202,Synthetic tanning substances,4digit,131.0
488,1024,3203,Coloring matter of animal or vegetable origin,4digit,131.0
489,1025,3204,Synthetic organic coloring matter,4digit,131.0
490,1026,3205,Color lakes,4digit,131.0
491,1027,3206,Other coloring matter,4digit,131.0
492,1028,3207,Prepared pigments,4digit,131.0
493,1029,3208,"Paints and varnishes, nonaqueous",4digit,131.0
494,1030,3209,"Paints and varnishes, aqueous",4digit,131.0
495,1031,3210,Other paints and varnishes,4digit,131.0
496,1032,3211,Prepared driers,4digit,131.0
497,1033,3212,"Pigments, nonaqueous",4digit,131.0
498,1034,3213,Artists' colors,4digit,131.0
499,1035,3214,Glaziers' putty,4digit,131.0
500,1036,3215,Ink,4digit,131.0
501,1037,3301,Essential oils,4digit,132.0
502,1038,3302,Mixtures of odoriferous subtances,4digit,132.0
503,1039,3303,Perfumes,4digit,132.0
504,1040,3304,Make-up preparations,4digit,132.0
505,1041,3305,Hair products,4digit,132.0
506,1042,3306,Dental hygiene products,4digit,132.0
507,1043,3307,Toiletries,4digit,132.0
508,1044,3401,Soap,4digit,133.0
509,1045,3402,Cleaning products,4digit,133.0
510,1046,3403,Lubricants,4digit,133.0
511,1047,3404,Artificial and prepared waxes,4digit,133.0
512,1048,3405,Polishes and creams,4digit,133.0
513,1049,3406,Candles,4digit,133.0
514,1050,3407,Modeling pastes,4digit,133.0
515,1051,3501,Casein,4digit,133.0
516,1052,3502,Albumins,4digit,134.0
517,1053,3503,Gelatin,4digit,134.0
518,1054,3504,Peptones,4digit,134.0
519,1055,3505,Dextrins and other modified starches,4digit,134.0
520,1056,3506,Glues and adhesives,4digit,134.0
521,1057,3507,Enzymes,4digit,134.0
522,1058,3601,Propellant powders,4digit,135.0
523,1059,3602,"Prepared explosives, except gunpowder",4digit,135.0
524,1060,3603,Detonators,4digit,135.0
525,1061,3604,Fireworks,4digit,135.0
526,1062,3605,Matches,4digit,135.0
527,1063,3606,Ferrocerium and other pyrophoric alloys,4digit,135.0
528,1064,3701,Photographic plates,4digit,136.0
529,1065,3702,Photographic film in rolls,4digit,136.0
530,1066,3703,Photographic paper,4digit,136.0
531,1067,3704,"Photographic film, not developed",4digit,136.0
532,1068,3705,"Photographic film, developed",4digit,136.0
533,1069,3706,Motion-picture film,4digit,136.0
534,1070,3707,Chemical preparations for photographic uses,4digit,136.0
535,1071,3801,Artificial graphite,4digit,137.0
536,1072,3802,Activated carbon,4digit,137.0
537,1073,3803,Tall oil,4digit,137.0
538,1074,3804,Residual lyes,4digit,137.0
539,1075,3805,Turpentines,4digit,137.0
540,1076,3806,Rosin and resin acids,4digit,137.0
541,1077,3807,Wood tar and oils,4digit,137.0
542,1078,3808,"Insecticides, rodenticides, fungicides, etc.",4digit,137.0
543,1079,3809,Finishing agents,4digit,137.0
544,1080,3810,Pickling preparations for metal surfaces,4digit,137.0
545,1081,3811,Anti-knock,4digit,137.0
546,1082,3812,Stabilizers for rubber or plastic,4digit,137.0
547,1083,3813,Preparations for fire extinguishers,4digit,137.0
548,1084,3814,Organic composite solvents and thinners,4digit,137.0
549,1085,3815,Catalytic preparations,4digit,137.0
550,1086,3816,Refractory cements,4digit,137.0
551,1087,3817,Mixed alkylbenzenes,4digit,137.0
552,1088,3818,Chemical elements for electronics,4digit,137.0
553,1089,3819,Hydraulic fluids,4digit,137.0
554,1090,3820,Antifreezing preparation,4digit,137.0
555,1091,3821,Prepared culture media for micro-organisms,4digit,137.0
556,1092,3822,Diagnostic or laboratory reagents,4digit,137.0
557,1093,3823,Industrial monocarboxylic fatty acids,4digit,137.0
558,1094,3901,Polymers of ethylene,4digit,138.0
559,1095,3902,Polymers of propylene,4digit,138.0
560,1096,3903,Polymers of styrene,4digit,138.0
561,1097,3904,Polymers of vinyl chloride,4digit,138.0
562,1098,3905,Polymers of vinyl acetate,4digit,138.0
563,1099,3906,Acrylic polymers,4digit,138.0
564,1100,3907,Polyacetals,4digit,138.0
565,1101,3908,Polyamides,4digit,138.0
566,1102,3909,Amino-resins,4digit,138.0
567,1103,3910,Silicones in primary forms,4digit,138.0
568,1104,3911,Petroleum resins,4digit,138.0
569,1105,3912,Cellulose n.e.c.,4digit,138.0
570,1106,3913,Natural polymers,4digit,138.0
571,1107,3914,Ion-exchangers based on polymers,4digit,138.0
572,1108,3915,Plastic waste,4digit,138.0
